what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1354136493055
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1354136534838
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1354136554543
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1354136633578
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1354136881350
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1354137173305
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1354137180872
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1354137200968
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1354137209303
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1354137216494
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1354137237936
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1354137260226
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1354137282934
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1354137294795
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1354137323974
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1354137360413
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1354137389895
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354137544857
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354137553556
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354137554284
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354137860472
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354137871663
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354137885151
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354137885892
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354137892993
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354137896165
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354137901410
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354137902424
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354137922047
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354137922740
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354138073574
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354138074815
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354138079835
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354138085307
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354138117743
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1354138226852
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1354138395675
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1354138398208
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1354138399452
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1354138403990
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1354138411612
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1354138427103
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1354138545043
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1354138553986
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1354138572143
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1354138581916
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1354138588221
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1354138588357
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1354138597376
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1354138610580
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1354138610749
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1354138619653
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1354138621161
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1354138621162
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354138623375
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354138647422
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1354138665216
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1354138670437
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1354138672466
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1354138683055
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1354138737301
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354138763344
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354138764026
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354138764439
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354138918987
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354138921087
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354138924613
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354138925307
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354138927462
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354138928340
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354138931153
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354138932206
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354138933145
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354138934102
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354138936034
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354138942602
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354138944311
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354138946370
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354138947621
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354138948483
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354138950750
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354138952299
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354139051065
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354139051880
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354139055592
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354139057595
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354139059951
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354139060419
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354139061917
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354139067918
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354139072219
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354139076178
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354139094070
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354139108018
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354139118554
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354139121537
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354139124989
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354139130525
